Doc_name,Page_num,Paragraph_num,Paragraph_content,Paragraph_length,SA_label,17 SDG Alignment,GRI Topic Alignment,Informative & Non-Informative/Vague Sustainability Text Identification,Qualitative & Quantitative Sustainability Text Identification,High Potential Greenwashing Detection,Climate Alignment,GRI Climate Alignment,GRI Climate Action (SDG13) Alignment,Climate Action (SDG13) Alignment
ASICS_sustainability_report_2024.pdf,3,1,"Welcome to the ASICS 2024 Sustainability Report, in which we share our sustainability performance, achievements, and challenges. This report includes our targets, approach, activities, and performance, as well as plans for the short, medium and long term.",26,Relevant,SDG_8: Economic Growth,General,Informative,Qualitative,High Potential Greenwashing,Non-Climate,GRI 2,General Aspect (GRI 2),Non-Climate Action
ASICS_sustainability_report_2024.pdf,3,2,"Purpose, Profit, Performance Our Mid-Term Plan 2026 identifies sustainability as one of the five key focus areas that will help guide our strategy to transform into a globally integrated enterprise. In 2024, the first year of implementing the Plan, we shifted to Global Integrated Enterprise through global growth, enhancement of brand experience, operational excellence, and the reinforcement of our business foundations. We recorded the highest sales and profit, with the latter at over ¥100 billion.",61,Relevant,SDG_8: Economic Growth,General,Informative,Qualitative,High Potential Greenwashing,Non-Climate,GRI 2,General Aspect (GRI 2),Non-Climate Action
ASICS_sustainability_report_2024.pdf,3,3,"Inspiring Well-Being Our founding philosophy – Anima Sana In Corpore Sano: Sound Mind, Sound Body – drives us to provide products and services that support people’s physical and mental well-being, while protecting the planet.",26,Irrelevant,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ASICS_sustainability_report_2024.pdf,3,4,"Our sustainability results in 2024 show how our stakeholders respond to our philosophy. We expanded consumer touch points last year, with 17.64 million OneASICS members – a significant increase from 9.45 million in 2023.",27,Relevant,SDG_8: Economic Growth,General,Informative,Quantitative,Low Potential Greenwashing,Non-Climate,GRI 2,General Aspect (GRI 2),Non-Climate Action
ASICS_sustainability_report_2024.pdf,3,5,"We also engaged tens of thousands of people across several initiatives, including our Move Her Mind research and campaign, which aims to close the gender gap in sports and exercise, and events like Run for Reforestation, which enabled us to plant nearly 100,000 trees around the world.",41,Relevant,SDG_5: Gender Equlaity,Environmental,Informative,Qualitative,High Potential Greenwashing,Climate,GRI 101,General Aspect (GRI 2),Non-Climate Action
ASICS_sustainability_report_2024.pdf,3,6,"Cutting Climate Impacts On the road to net-zero in 2050, we have set ambitious targets for reducing greenhouse gas (GHG) emissions and increasing our use of renewable energy. We are embracing circularity as our approach to climate change, including in our product design. The NIMBUS MIRAI™ was designed to be recycled at the end of its life, with emissions 57% lower than the industry average.",65,Relevant,SDG_12: Responsible Consumption,Environmental,Informative,Quantitative,High Potential Greenwashing,Climate,GRI 302,Environmental Aspect (GRI 305),Climate Action (SDG13)
ASICS_sustainability_report_2024.pdf,3,7,"Success Is Collaborative Our efforts are being recognized: for the first time, in 2024, ASICS achieved CDP's climate change 'A' rating. These achievements result from the dedication of ASICS employees worldwide, who collaborate with each other, our business partners, and consumers to create a positive impact on both people and the planet. We continue to work towards the 2026, 2030, and 2050 targets driving our progress, and you can read about our plans throughout this report.",76,Relevant,SDG_13: Climate Action,Economic,Informative,Qualitative,High Potential Greenwashing,Climate,GRI 101,Economical Aspect (GRI 201),Climate Action (SDG13)
ASICS_sustainability_report_2024.pdf,4,1,"As one of the world’s top sports performance and lifes- tyle brands, ASICS pursues goals connected to our company’s foun- ding philosophy – Anima Sana In Corpore Sano: Sound Mind, Sound Body – to help people around the world to be happy and healthy. In addition to our business goals, our sustainability efforts are central to this pursuit, and this year’s external recognition reflects the progress we made in 2024.",56,Irrelevant,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ASICS_sustainability_report_2024.pdf,4,2,"ASICS has been recognized as an ‘A List Company' of climate by CDP for the first time. (Last year, ASICS received an 'A-'rating.) This recognition reflects ASICS’ ongoing commitment to climate action. Read the full press release. ",28,Relevant,SDG_13: Climate Action,Economic,Informative,Qualitative,High Potential Greenwashing,Climate,GRI 201,Economical Aspect (GRI 201),Climate Action (SDG13)
ASICS_sustainability_report_2024.pdf,5,1,"Recycled polyester used in total polyester consumption 1 From FY24, the membership of local programs in China, India, and other countries are counted in addition to the membership of the global programs in Japan, the U.S., Europe, and Australia. In addition, in accordance with our ASICS Privacy Policy, we have closed and deleted “inactive” accounts which hadn’t been used for two years.",49,Relevant,SDG_12: Responsible Consumption,Environmental,Informative,Quantitative,Low Potential Greenwashing,Climate,GRI 306,Environmental Aspect (GRI 305),Climate Action (SDG13)
ASICS_sustainability_report_2024.pdf,6,1,"Sustainability is integral to our efforts, guiding us in developing high-quality, functional products and services with consideration for their impact on people and the planet. All this is guided by our Sustainability Framework, supported by governance and policies, and enabled by strong collaboration with our supply chain.",41,Relevant,SDG_8: Economic Growth,Environmental,Non-informative/Vague,Qualitative,High Potential Greenwashing,Non-Climate,GRI 2,General Aspect (GRI 2),Non-Climate Action
ASICS_sustainability_report_2024.pdf,7,1,"Since 1949, our purpose has been to help people achieve a sound mind in a sound body. To do this, we need a sound Earth to run on.",24,Irrelevant,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ASICS_sustainability_report_2024.pdf,7,2,"Our commitment to sustainability falls under two pillars: People and Planet. Through the ASICS Sustainability Framework, we structure our efforts to achieve targets that make a difference to the environment and help improve the well-being of people today and in the future. Our strategy is informed by our double materiality analysis (see page 11) and is aligned with our overall business strategy, set out in our Mid-Term Plan 2026. It is also designed to contribute to several Sustainable Development Goals (SDGs). In using this Framework, we look back at our perfor- mance and forward to what tomorrow may bring – our plan, do, check, act approach.",88,Relevant,SDG_8: Economic Growth,Environmental,Informative,Qualitative,High Potential Greenwashing,Non-Climate,GRI 2,General Aspect (GRI 2),Non-Climate Action
ASICS_sustainability_report_2024.pdf,8,1,Product Use Supporting consumers to improve their mental and physical health; providing durable products; helping consumers reduce their environmental impact; offering repair services for some products in Japan.,24,Irrelevant,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ASICS_sustainability_report_2024.pdf,8,2,"The impact we have on people and the planet does not end with our direct actions – we are part of an extensive value chain, and our sustainability efforts reflect this position. We take action to increase our positive impacts and mitigate negative impacts throughout the value chain, working with suppliers to make progress upstream and engaging with consumers and partners to do so downstream.",60,Relevant,SDG_8: Economic Growth,Environmental,Informative,Qualitative,High Potential Greenwashing,Climate,GRI 306,General Aspect (GRI 2),Non-Climate Action
ASICS_sustainability_report_2024.pdf,9,1,"At ASICS, we work together to pursue shared sustainability goals, steered by our policies and guidelines. They are designed to give ASICS employees, suppliers and other business partners clarity on how we can create, make, and sell products while protecting the planet and improving people’s well-being.",38,Relevant,SDG_8: Economic Growth,Environmental,Informative,Qualitative,High Potential Greenwashing,Climate,GRI 306,General Aspect (GRI 2),Non-Climate Action
ASICS_sustainability_report_2024.pdf,9,2,We provide training to ensure our policies and guidelines are fully integrated into the way we work – at ASICS and among our business partners and suppliers.,25,Relevant,SDG_8: Economic Growth,Social,Non-informative/Vague,Qualitative,High Potential Greenwashing,Non-Climate,GRI 2,General Aspect (GRI 2),Non-Climate Action
